fresh fruits,produce,3642188
fresh vegetables,produce,3418021
packaged vegetables fruits,produce,1765313
yogurt,dairy eggs,1452343
packaged cheese,dairy eggs,979763
milk,dairy eggs,891015
water seltzer sparkling water,beverages,841533
chips pretzels,snacks,722470
soy lactosefree,dairy eggs,638253
bread,bakery,584834
refrigerated,beverages,575881
frozen produce,frozen,522654
ice cream ice,frozen,498425
crackers,snacks,458838
energy granola bars,snacks,456386
eggs,dairy eggs,452134
lunch meat,deli,395130
frozen meals,frozen,390299
baby food formula,babies,382456
fresh herbs,produce,377741
