user_id,recency,frequency,monetary,cluster
1,14.0,11,59,0
2,30.0,15,195,2
3,11.0,13,88,0
4,30.0,6,18,2
5,6.0,5,37,0
6,22.0,4,14,2
7,6.0,21,206,0
8,10.0,4,49,0
9,30.0,4,76,2
10,30.0,6,143,2
11,8.0,8,94,0
12,30.0,6,74,2
13,8.0,13,81,0
14,11.0,14,210,0
15,7.0,23,72,0
16,7.0,7,70,0
17,30.0,41,294,3
18,7.0,7,39,0
19,8.0,10,204,0
20,30.0,5,22,2
21,28.0,34,205,2
22,1.0,16,69,0
23,30.0,5,40,2
24,0.0,19,38,0
25,30.0,4,21,2
26,8.0,13,56,0
27,4.0,82,768,1
28,8.0,25,183,0
29,13.0,19,225,0
30,22.0,9,11,2
31,18.0,21,299,3
32,30.0,6,114,2
33,19.0,4,53,2
34,30.0,6,32,2
35,21.0,10,184,2
36,3.0,38,153,3
37,16.0,24,188,0
38,30.0,13,195,2
39,7.0,8,141,0
40,7.0,10,104,0
41,30.0,6,65,2
42,14.0,17,133,0
43,26.0,12,147,2
44,30.0,4,37,2
45,3.0,5,18,0
46,11.0,20,157,0
47,16.0,6,26,0
48,14.0,11,113,0
49,2.0,9,47,0
50,7.0,68,453,1
51,16.0,4,29,0
52,3.0,28,169,3
53,13.0,4,35,0
54,1.0,78,619,1
55,30.0,8,87,2
56,6.0,13,145,0
57,8.0,15,72,0
58,7.0,16,97,0
59,10.0,11,92,0
60,30.0,9,67,2
61,17.0,5,87,0
62,29.0,11,80,2
63,13.0,40,504,3
64,27.0,11,135,2
65,30.0,15,132,2
66,23.0,7,23,2
67,5.0,25,81,0
68,30.0,7,70,2
69,7.0,6,50,0
70,30.0,14,104,2
71,17.0,24,437,3
72,30.0,13,47,2
73,30.0,8,24,2
74,10.0,6,48,0
75,6.0,24,311,3
76,14.0,10,32,0
77,28.0,13,203,2
78,7.0,7,41,0
79,30.0,8,93,2
80,8.0,13,128,0
81,8.0,8,27,0
82,13.0,20,131,0
83,30.0,7,39,2
84,14.0,9,64,0
85,3.0,8,30,0
86,6.0,18,267,0
87,8.0,28,176,3
88,23.0,8,11,2
89,6.0,21,239,0
90,2.0,72,670,1
91,11.0,16,211,0
92,30.0,6,20,2
93,5.0,15,31,0
94,30.0,10,56,2
95,21.0,9,144,2
96,30.0,17,143,2
97,6.0,6,54,0
98,30.0,15,50,2
99,22.0,19,211,2
100,30.0,6,27,2
101,26.0,21,170,2
102,30.0,7,59,2
103,20.0,18,77,2
104,10.0,6,18,0
105,30.0,8,14,2
106,8.0,4,41,0
107,30.0,16,130,2
108,6.0,8,69,0
109,21.0,7,69,2
110,6.0,21,347,3
111,4.0,8,56,0
112,6.0,27,158,0
113,30.0,6,5,2
114,2.0,5,66,0
115,15.0,13,79,0
116,4.0,7,25,0
117,4.0,12,120,0
118,30.0,28,165,2
119,30.0,4,22,2
120,30.0,4,7,2
121,21.0,11,55,2
122,30.0,30,120,2
123,0.0,11,63,0
124,21.0,9,79,2
125,11.0,14,182,0
126,14.0,11,105,0
127,30.0,18,305,2
128,4.0,12,91,0
129,30.0,12,64,2
130,12.0,4,37,0
131,18.0,10,59,0
132,5.0,25,116,0
133,10.0,21,544,3
134,30.0,7,47,2
135,17.0,5,26,0
136,21.0,5,47,2
137,6.0,7,72,0
