user_id,user_total_orders,user_avg_days_between_orders,user_reorder_ratio
114958,100,3.58,0.7473
69028,100,2.5,0.8046
177893,100,3.05,0.7204
54259,100,3.31,0.8455
141637,100,3.31,0.7548
93942,100,1.41,0.6617
145961,100,2.44,0.8281
166908,100,2.14,0.8981
146147,100,2.28,0.8163
146119,100,1.83,0.7663
56886,100,3.56,0.8193
124838,100,2.84,0.8859
77374,100,3.35,0.8897
113660,100,3.39,0.7708
18412,100,3.39,0.8451
192596,100,1.71,0.6488
158697,100,2.61,0.8525
128987,100,2.18,0.8159
11375,100,3.43,0.7558
31186,100,1.27,0.7599
34628,100,2.5,0.766
124823,100,3.56,0.6392
96827,100,3.26,0.6818
187972,100,2.1,0.6387
202272,100,3.27,0.8398
202282,100,3.41,0.7713
202304,100,3.18,0.7847
175658,100,3.0,0.8295
175680,100,3.36,0.8947
33513,100,1.93,0.8036
53976,100,3.29,0.687
39832,100,2.09,0.7181
64512,100,3.43,0.8539
160297,100,2.74,0.7462
169991,100,3.21,0.7629
205972,100,2.74,0.9295
202833,100,3.03,0.7561
50643,100,2.57,0.6232
138711,100,2.26,0.8009
96497,100,2.6,0.7155
91606,100,3.59,0.9256
22395,100,3.28,0.6031
77509,100,2.31,0.8962
192795,100,3.43,0.7553
184119,100,2.82,0.6716
160426,100,3.23,0.7803
192747,100,3.58,0.7948
123746,100,1.71,0.7031
202153,100,2.6,0.7574
175591,100,3.31,0.7612
50087,100,3.12,0.7896
32971,100,2.59,0.9555
164927,100,3.21,0.6807
25508,100,2.04,0.9195
116458,100,3.35,0.7047
138283,100,1.41,0.7673
22337,100,2.72,0.834
164906,100,3.27,0.8228
164918,100,2.61,0.7946
50074,100,2.43,0.7326
146478,100,2.62,0.7362
175540,100,2.84,0.8617
57130,100,2.83,0.7615
97013,100,3.27,0.8075
310,100,3.3,0.712
177734,100,3.05,0.7442
169071,100,3.32,0.8351
64320,100,2.68,0.8418
127890,100,2.31,0.6966
39901,100,2.73,0.9415
64368,100,1.32,0.7722
210,100,3.3,0.8421
120840,100,3.56,0.7615
65666,100,1.1,0.8688
104855,100,2.72,0.9015
12473,100,3.54,0.8475
120853,100,3.35,0.8505
183981,100,1.26,0.9034
183985,100,2.95,0.768
40188,100,3.29,0.8241
158262,100,2.5,0.8201
103737,100,2.91,0.7585
18620,100,2.24,0.6788
15124,100,2.23,0.6078
138241,100,2.76,0.6408
50024,100,3.23,0.7055
77311,100,2.48,0.7361
50817,100,2.36,0.6905
91957,100,2.25,0.7605
138791,100,3.02,0.7338
146600,100,2.63,0.6812
205878,100,3.01,0.6451
103642,100,2.86,0.737
170217,100,3.16,0.8609
109846,100,3.28,0.7587
70742,100,2.34,0.8124
40278,100,2.71,0.7872
40253,100,2.52,0.8401
68923,100,2.98,0.7258
94330,100,3.49,0.5552
74896,100,2.85,0.8655
188020,100,2.73,0.7122
201896,100,3.11,0.8896
49878,100,2.7,0.6604
146714,100,3.47,0.6098
22274,100,3.65,0.7255
146625,100,1.77,0.5308
3377,100,3.19,0.8642
33645,100,2.36,0.8315
86109,100,2.66,0.8031
110447,100,3.09,0.865
110479,100,3.65,0.8595
160532,100,3.57,0.7136
104910,100,2.49,0.7809
170248,100,2.32,0.7326
103593,100,3.64,0.9654
86061,100,3.61,0.732
80828,100,3.63,0.7326
75124,100,1.62,0.9655
124710,100,2.94,0.7851
16680,100,1.71,0.926
74804,100,2.68,0.7851
25876,100,2.89,0.7988
188093,100,3.43,0.7853
179732,100,3.5,0.8771
127776,100,1.84,0.8779
103508,100,2.6,0.8175
313,100,1.71,0.8348
53837,100,3.35,0.767
91359,100,3.19,0.8665
113384,100,3.59,0.8118
138113,100,3.04,0.7958
138126,100,2.02,0.8167
201776,100,1.84,0.8254
146781,100,2.31,0.8017
167139,100,3.42,0.7722
16645,100,3.57,0.7991
67921,100,2.81,0.7466
164732,100,2.83,0.7166
127661,100,2.71,0.8952
157667,100,2.57,0.9058
17884,100,3.25,0.8808
160617,100,3.3,0.7886
129784,100,2.83,0.5952
10747,100,2.93,0.7681
31310,100,1.53,0.5804
